Protein	Neighborhood.Class	Compartment.Class
NAV1	Cytosol	Unclassified
NAV2	Cytosol	Unclassified
NBEAL1	Cytosol	Unclassified
NBEAL2	Cytosol	Unclassified
NCALD	Cytosol	Unclassified
NCAPD2	Cytosol	Unclassified
NCAPG	Cytosol	Unclassified
NCAPH	Cytosol	Unclassified
NCCRP1	Cytosol	Unclassified
NCDN	Cytosol	Unclassified
NCK1	Cytosol	Unclassified
NCK2	Cytosol	Unclassified
NCKAP1	Cytosol	Unclassified
NCKAP5L	Cytosol	Unclassified
NCOA1	Cytosol	Unclassified
NCOA4	Cytosol	Unclassified
NDC80	Cytosol	Unclassified
NDE1	Cytosol	Unclassified
NDEL1	Cytosol	Unclassified
NDOR1	Cytosol	Unclassified
NDRG1	Cytosol	Unclassified
NDRG2	Cytosol	Unclassified
NDRG3	Cytosol	Unclassified
NDRG4	Cytosol	Unclassified
NDUFB2	Cytosol	Unclassified
NEBL	Cytosol	Unclassified
NECAB1	Cytosol	Unclassified
NECAP1	Cytosol	Unclassified
NECAP2	Cytosol	Unclassified
NEDD1	Cytosol	Unclassified
NEDD4	Cytosol	Unclassified
NEDD4L	Cytosol	Unclassified
NEK11	Cytosol	Unclassified
NEK6	Cytosol	Unclassified
NEK7	Cytosol	Unclassified
NEK9	Cytosol	Unclassified
NEMF	Cytosol	Unclassified
NES	Cytosol	Unclassified
NETO1	Cytosol	Unclassified
NF1	Cytosol	Unclassified
NFATC1	Cytosol	Unclassified
NFATC3	Cytosol	Unclassified
NFE2L2	Cytosol	Unclassified
NFKBIA	Cytosol	Unclassified
NFKBIB	Cytosol	Unclassified
NFKBIE	Cytosol	Unclassified
NGEF	Cytosol	Unclassified
NGLY1	Cytosol	Unclassified
NHEJ1	Cytosol	Unclassified
NHLRC2	Cytosol	Unclassified
NHSL1	Cytosol	Unclassified
NIF3L1	Cytosol	Unclassified
NIN	Cytosol	Unclassified
NIT1	Cytosol	Unclassified
NIT2	Cytosol	Unclassified
NKIRAS2	Cytosol	Unclassified
NLN	Cytosol	Unclassified
NMD3	Cytosol	Unclassified
NME7	Cytosol	Unclassified
NMI	Cytosol	Unclassified
NMRAL1	Cytosol	Unclassified
NMRK1	Cytosol	Unclassified
NMT1	Cytosol	Unclassified
NMT2	Cytosol	Unclassified
NOB1	Cytosol	Unclassified
NOL3	Cytosol	Unclassified
NOXA1	Cytosol	Unclassified
NPEPPS	Cytosol	Unclassified
NPHP3	Cytosol	Unclassified
NPRL2	Cytosol	Unclassified
NPRL3	Cytosol	Unclassified
NQO1	Cytosol	Unclassified
NQO2	Cytosol	Unclassified
NR1D1	Cytosol	Unclassified
NR1D2	Cytosol	Unclassified
NR2C2AP	Cytosol	Unclassified
NR3C1	Cytosol	Unclassified
NRBF2	Cytosol	Unclassified
NSMF	Cytosol	Unclassified
NT5C	Cytosol	Unclassified
NT5C3B	Cytosol	Unclassified
NT5DC1	Cytosol	Unclassified
NTMT1	Cytosol	Unclassified
NTPCR	Cytosol	Unclassified
NUB1	Cytosol	Unclassified
NUBP1	Cytosol	Unclassified
NUBP2	Cytosol	Unclassified
NUDC	Cytosol	Unclassified
NUDCD1	Cytosol	Unclassified
NUDCD2	Cytosol	Unclassified
NUDCD3	Cytosol	Unclassified
NUDT12	Cytosol	Unclassified
NUDT14	Cytosol	Unclassified
NUDT16	Cytosol	Unclassified
NUDT18	Cytosol	Unclassified
NUDT2	Cytosol	Unclassified
NUDT22	Cytosol	Unclassified
NUDT3	Cytosol	Unclassified
NUDT4	Cytosol	Unclassified
NUDT5	Cytosol	Unclassified
NUDT9	Cytosol	Unclassified
NUF2	Cytosol	Unclassified
NUP214	Cytosol	Unclassified
NUP37	Cytosol	Unclassified
NUP43	Cytosol	Unclassified
NUP62	Cytosol	Unclassified
NUP88	Cytosol	Unclassified
NXN	Cytosol	Unclassified
NYNRIN	Cytosol	Unclassified
OAF	Cytosol	Unclassified
OARD1	Cytosol	Unclassified
OAS3	Cytosol	Unclassified
OAZ2	Cytosol	Unclassified
OBSCN	Cytosol	Unclassified
OBSL1	Cytosol	Unclassified
OCRL	Cytosol	Unclassified
ODC1	Cytosol	Unclassified
OFD1	Cytosol	Unclassified
OGFOD2	Cytosol	Unclassified
OGFRL1	Cytosol	Unclassified
OGT	Cytosol	Unclassified
OLFM2	Cytosol	Unclassified
OPHN1	Cytosol	Unclassified
OPLAH	Cytosol	Unclassified
OPTN	Cytosol	Unclassified
ORAOV1	Cytosol	Unclassified
ORMDL3	Cytosol	Unclassified
OSBP2	Cytosol	Unclassified
OSBPL1A	Cytosol	Unclassified
OSBPL6	Cytosol	Unclassified
OSBPL7	Cytosol	Unclassified
OSCP1	Cytosol	Unclassified
OSER1	Cytosol	Unclassified
OSGEP	Cytosol	Unclassified
OSGIN2	Cytosol	Unclassified
OSTF1	Cytosol	Unclassified
OTUB1	Cytosol	Unclassified
OTUB2	Cytosol	Unclassified
OTUD1	Cytosol	Unclassified
OTUD3	Cytosol	Unclassified
OTUD4	Cytosol	Unclassified
OTUD6B	Cytosol	Unclassified
OVCA2	Cytosol	Unclassified
PA2G4	Cytosol	Unclassified
PAAF1	Cytosol	Unclassified
PACS1	Cytosol	Unclassified
PACSIN1	Cytosol	Unclassified
PACSIN2	Cytosol	Unclassified
PADI2	Cytosol	Unclassified
PAFAH1B1	Cytosol	Unclassified
PAFAH1B3	Cytosol	Unclassified
PAIP1	Cytosol	Unclassified
PAK1	Cytosol	Unclassified
PAK2	Cytosol	Unclassified
PAK3	Cytosol	Unclassified
PAK4	Cytosol	Unclassified
PAK6	Cytosol	Unclassified
PALLD	Cytosol	Unclassified
PAN2	Cytosol	Unclassified
PAN3	Cytosol	Unclassified
PANK1	Cytosol	Unclassified
PANK2	Cytosol	Unclassified
PANK3	Cytosol	Unclassified
PANK4	Cytosol	Unclassified
PARD3	Cytosol	Unclassified
PARG	Cytosol	Unclassified
PARP12	Cytosol	Unclassified
PARP14	Cytosol	Unclassified
PARP4	Cytosol	Unclassified
PARP9	Cytosol	Unclassified
PARPBP	Cytosol	Unclassified
PARVA	Cytosol	Unclassified
PASK	Cytosol	Unclassified
PATL1	Cytosol	Unclassified
PAWR	Cytosol	Unclassified
PBK	Cytosol	Unclassified
PBLD	Cytosol	Unclassified
PCBD1	Cytosol	Unclassified
PCBD2	Cytosol	Unclassified
PCBP1	Cytosol	Unclassified
PCBP2	Cytosol	Unclassified
PCBP3	Cytosol	Unclassified
PCDH9	Cytosol	Unclassified
PCID2	Cytosol	Unclassified
PCMT1	Cytosol	Unclassified
PCMTD1	Cytosol	Unclassified
PCMTD2	Cytosol	Unclassified
PCOLCE	Cytosol	Unclassified
PCP4	Cytosol	Unclassified
PCYT2	Cytosol	Unclassified
PDCD2	Cytosol	Unclassified
PDCD2L	Cytosol	Unclassified
PDCD5	Cytosol	Unclassified
PDCD6	Cytosol	Unclassified
PDCD6IP	Cytosol	Unclassified
PDCL3	Cytosol	Unclassified
PDDC1	Cytosol	Unclassified
PDE4D	Cytosol	Unclassified
PDE6D	Cytosol	Unclassified
PDGFA	Cytosol	Unclassified
PDLIM2	Cytosol	Unclassified
PDLIM5	Cytosol	Unclassified
PDLIM7	Cytosol	Unclassified
PDRG1	Cytosol	Unclassified
PDXDC1	Cytosol	Unclassified
PDXP	Cytosol	Unclassified
PDZD11	Cytosol	Unclassified
PDZK1	Cytosol	Unclassified
PDZRN3	Cytosol	Unclassified
PEA15	Cytosol	Unclassified
PEBP1	Cytosol	Unclassified
PEF1	Cytosol	Unclassified
PELO	Cytosol	Unclassified
PEPD	Cytosol	Unclassified
PEX19	Cytosol	Unclassified
PEX5	Cytosol	Unclassified
PEX7	Cytosol	Unclassified
PFDN4	Cytosol	Unclassified
PFDN5	Cytosol	Unclassified
PFDN6	Cytosol	Unclassified
PFKFB2	Cytosol	Unclassified
PFKFB4	Cytosol	Unclassified
PFKL	Cytosol	Unclassified
PFKM	Cytosol	Unclassified
PFKP	Cytosol	Unclassified
PFN1	Cytosol	Unclassified
PFN2	Cytosol	Unclassified
PGAM1	Cytosol	Unclassified
PGGT1B	Cytosol	Unclassified
PGK1	Cytosol	Unclassified
PGK2	Cytosol	Unclassified
PGLS	Cytosol	Unclassified
PGLYRP2	Cytosol	Unclassified
PGM1	Cytosol	Unclassified
PGM2L1	Cytosol	Unclassified
PGM3	Cytosol	Unclassified
PGM5	Cytosol	Unclassified
PGP	Cytosol	Unclassified
PGPEP1	Cytosol	Unclassified
PGR	Cytosol	Unclassified
PHACTR2	Cytosol	Unclassified
PHACTR4	Cytosol	Unclassified
PHKA1	Cytosol	Unclassified
PHLDA1	Cytosol	Unclassified
PHLDA2	Cytosol	Unclassified
PHLDA3	Cytosol	Unclassified
PHLDB3	Cytosol	Unclassified
PHLPP1	Cytosol	Unclassified
PHLPP2	Cytosol	Unclassified
PHOSPHO2	Cytosol	Unclassified
PHPT1	Cytosol	Unclassified
PHYKPL	Cytosol	Unclassified
PICALM	Cytosol	Unclassified
PIH1D1	Cytosol	Unclassified
PIK3C2A	Cytosol	Unclassified
PIK3C2B	Cytosol	Unclassified
PIK3C3	Cytosol	Unclassified
PIK3CA	Cytosol	Unclassified
PIK3CB	Cytosol	Unclassified
PIK3R3	Cytosol	Unclassified
PIK3R4	Cytosol	Unclassified
PIKFYVE	Cytosol	Unclassified
PIN4	Cytosol	Unclassified
PIP4K2A	Cytosol	Unclassified
PIP4K2B	Cytosol	Unclassified
PIP4K2C	Cytosol	Unclassified
PIR	Cytosol	Unclassified
PITHD1	Cytosol	Unclassified
PITPNA	Cytosol	Unclassified
PITPNC1	Cytosol	Unclassified
PITPNM1	Cytosol	Unclassified
PJA1	Cytosol	Unclassified
PJA2	Cytosol	Unclassified
PKIB	Cytosol	Unclassified
PKIG	Cytosol	Unclassified
PKLR	Cytosol	Unclassified
PKN1	Cytosol	Unclassified
PLA2G16	Cytosol	Unclassified
PLAA	Cytosol	Unclassified
PLCB1	Cytosol	Unclassified
PLCB3	Cytosol	Unclassified
PLCG1	Cytosol	Unclassified
PLCXD3	Cytosol	Unclassified
PLEK2	Cytosol	Unclassified
PLEKHA1	Cytosol	Unclassified
PLEKHA2	Cytosol	Unclassified
PLEKHA8	Cytosol	Unclassified
PLEKHB1	Cytosol	Unclassified
PLEKHF1	Cytosol	Unclassified
PLEKHF2	Cytosol	Unclassified
PLEKHG5	Cytosol	Unclassified
PLEKHH2	Cytosol	Unclassified
PLEKHJ1	Cytosol	Unclassified
PLEKHM2	Cytosol	Unclassified
PLEKHO2	Cytosol	Unclassified
PLEKHS1	Cytosol	Unclassified
PLIN5	Cytosol	Unclassified
PLP1	Cytosol	Unclassified
PLS1	Cytosol	Unclassified
PLS3	Cytosol	Unclassified
PM20D2	Cytosol	Unclassified
PMM1	Cytosol	Unclassified
PMM2	Cytosol	Unclassified
PNMA1	Cytosol	Unclassified
PNMA2	Cytosol	Unclassified
PNP	Cytosol	Unclassified
POC5	Cytosol	Unclassified
POF1B	Cytosol	Unclassified
POLE4	Cytosol	Unclassified
POLI	Cytosol	Unclassified
POLR1C	Cytosol	Unclassified
POLR1D	Cytosol	Unclassified
POLR2H	Cytosol	Unclassified
POLR3K	Cytosol	Unclassified
POMP	Cytosol	Unclassified
PON1	Cytosol	Unclassified
POP7	Cytosol	Unclassified
POT1	Cytosol	Unclassified
POTEI	Cytosol	Unclassified
POTEJ	Cytosol	Unclassified
PPA1	Cytosol	Unclassified
PPCDC	Cytosol	Unclassified
PPCS	Cytosol	Unclassified
PPFIA1	Cytosol	Unclassified
PPFIA3	Cytosol	Unclassified
PPFIBP2	Cytosol	Unclassified
PPIA	Cytosol	Unclassified
PPID	Cytosol	Unclassified
PPIL1	Cytosol	Unclassified
PPIL3	Cytosol	Unclassified
PPIP5K2	Cytosol	Unclassified
PPL	Cytosol	Unclassified
PPM1B	Cytosol	Unclassified
PPM1E	Cytosol	Unclassified
PPM1F	Cytosol	Unclassified
PPP1CA	Cytosol	Unclassified
PPP1CB	Cytosol	Unclassified
PPP1R11	Cytosol	Unclassified
PPP1R12A	Cytosol	Unclassified
PPP1R12B	Cytosol	Unclassified
PPP1R12C	Cytosol	Unclassified
PPP1R13B	Cytosol	Unclassified
PPP1R13L	Cytosol	Unclassified
PPP1R14C	Cytosol	Unclassified
PPP1R2	Cytosol	Unclassified
PPP1R21	Cytosol	Unclassified
PPP1R35	Cytosol	Unclassified
PPP1R37	Cytosol	Unclassified
PPP1R3D	Cytosol	Unclassified
PPP1R7	Cytosol	Unclassified
PPP2CB	Cytosol	Unclassified
PPP2R1A	Cytosol	Unclassified
PPP2R1B	Cytosol	Unclassified
PPP2R2A	Cytosol	Unclassified
PPP2R3A	Cytosol	Unclassified
PPP2R3B	Cytosol	Unclassified
PPP2R4	Cytosol	Unclassified
PPP2R5B	Cytosol	Unclassified
PPP2R5C	Cytosol	Unclassified
PPP3CA	Cytosol	Unclassified
PPP3CC	Cytosol	Unclassified
PPP3R1	Cytosol	Unclassified
PPP4C	Cytosol	Unclassified
PPP5C	Cytosol	Unclassified
PPP6C	Cytosol	Unclassified
PPP6R1	Cytosol	Unclassified
PPP6R2	Cytosol	Unclassified
PPP6R3	Cytosol	Unclassified
PRDM11	Cytosol	Unclassified
PRDX1	Cytosol	Unclassified
PRDX2	Cytosol	Unclassified
PRDX5	Cytosol	Unclassified
PREP	Cytosol	Unclassified
PREPL	Cytosol	Unclassified
PRIMPOL	Cytosol	Unclassified
PRKAB1	Cytosol	Unclassified
PRKAB2	Cytosol	Unclassified
PRKACA	Cytosol	Unclassified
PRKACB	Cytosol	Unclassified
PRKACG	Cytosol	Unclassified
PRKAG2	Cytosol	Unclassified
PRKAR1A	Cytosol	Unclassified
PRKAR1B	Cytosol	Unclassified
PRKAR2A	Cytosol	Unclassified
PRKAR2B	Cytosol	Unclassified
PRKCA	Cytosol	Unclassified
PRKCD	Cytosol	Unclassified
PRKCE	Cytosol	Unclassified
PRKCZ	Cytosol	Unclassified
PRKD3	Cytosol	Unclassified
PRMT10	Cytosol	Unclassified
PRMT2	Cytosol	Unclassified
PRMT3	Cytosol	Unclassified
PRMT5	Cytosol	Unclassified
PRMT7	Cytosol	Unclassified
PRMT8	Cytosol	Unclassified
PROC	Cytosol	Unclassified
PROCR	Cytosol	Unclassified
PROS1	Cytosol	Unclassified
PROSC	Cytosol	Unclassified
PROSER2	Cytosol	Unclassified
PRPS1	Cytosol	Unclassified
PRPS2	Cytosol	Unclassified
PRPSAP1	Cytosol	Unclassified
PRPSAP2	Cytosol	Unclassified
PRR15	Cytosol	Unclassified
PRR15L	Cytosol	Unclassified
PRR5	Cytosol	Unclassified
PRRC1	Cytosol	Unclassified
PRRX2	Cytosol	Unclassified
PRTFDC1	Cytosol	Unclassified
PSD3	Cytosol	Unclassified
PSD4	Cytosol	Unclassified
PSKH1	Cytosol	Unclassified
PSMA1	Cytosol	Unclassified
PSMA5	Cytosol	Unclassified
PSMA7	Cytosol	Unclassified
PSMB1	Cytosol	Unclassified
PSMB10	Cytosol	Unclassified
PSMC1	Cytosol	Unclassified
PSMC6	Cytosol	Unclassified
PSMD10	Cytosol	Unclassified
PSMD4	Cytosol	Unclassified
PSMD5	Cytosol	Unclassified
PSMD6	Cytosol	Unclassified
PSMD9	Cytosol	Unclassified
PSME1	Cytosol	Unclassified
PSME2	Cytosol	Unclassified
PSMF1	Cytosol	Unclassified
PSMG1	Cytosol	Unclassified
PSMG2	Cytosol	Unclassified
PSPH	Cytosol	Unclassified
PSRC1	Cytosol	Unclassified
PSTK	Cytosol	Unclassified
PSTPIP2	Cytosol	Unclassified
PTAR1	Cytosol	Unclassified
PTEN	Cytosol	Unclassified
PTER	Cytosol	Unclassified
PTGR1	Cytosol	Unclassified
PTK6	Cytosol	Unclassified
PTP4A2	Cytosol	Unclassified
PTPN11	Cytosol	Unclassified
PTPN12	Cytosol	Unclassified
PTPN14	Cytosol	Unclassified
PTPN18	Cytosol	Unclassified
PTPN6	Cytosol	Unclassified
PTRHD1	Cytosol	Unclassified
PTS	Cytosol	Unclassified
PTTG1	Cytosol	Unclassified
PXK	Cytosol	Unclassified
PYCRL	Cytosol	Unclassified
PYGB	Cytosol	Unclassified
PYGL	Cytosol	Unclassified
PYGM	Cytosol	Unclassified
PZP	Cytosol	Unclassified
QARS	Cytosol	Unclassified
QPRT	Cytosol	Unclassified
QTRT1	Cytosol	Unclassified
QTRTD1	Cytosol	Unclassified
R3HCC1L	Cytosol	Unclassified
R3HDM1	Cytosol	Unclassified
R3HDM2	Cytosol	Unclassified
R3HDM4	Cytosol	Unclassified
RAB37	Cytosol	Unclassified
RAB3GAP1	Cytosol	Unclassified
RAB3GAP2	Cytosol	Unclassified
RAB3IP	Cytosol	Unclassified
RAB40C	Cytosol	Unclassified
RABEP1	Cytosol	Unclassified
RABEP2	Cytosol	Unclassified
RABEPK	Cytosol	Unclassified
RABIF	Cytosol	Unclassified
RABL5	Cytosol	Unclassified
RABL6	Cytosol	Unclassified
RAC1	Cytosol	Unclassified
RAD51	Cytosol	Unclassified
RAD51C	Cytosol	Unclassified
RAE1	Cytosol	Unclassified
RALBP1	Cytosol	Unclassified
RALGAPA1	Cytosol	Unclassified
RALGAPA2	Cytosol	Unclassified
RALGAPB	Cytosol	Unclassified
RAN	Cytosol	Unclassified
RANBP10	Cytosol	Unclassified
RANBP17	Cytosol	Unclassified
RANBP9	Cytosol	Unclassified
RANGAP1	Cytosol	Unclassified
RAP1GAP2	Cytosol	Unclassified
RAPGEF1	Cytosol	Unclassified
RAPGEF2	Cytosol	Unclassified
RARG	Cytosol	Unclassified
RARS	Cytosol	Unclassified
RASA2	Cytosol	Unclassified
RASAL1	Cytosol	Unclassified
RASAL2	Cytosol	Unclassified
RASGRP1	Cytosol	Unclassified
RASSF1	Cytosol	Unclassified
RASSF7	Cytosol	Unclassified
RB1CC1	Cytosol	Unclassified
RBBP9	Cytosol	Unclassified
RBKS	Cytosol	Unclassified
RBM38	Cytosol	Unclassified
RBP1	Cytosol	Unclassified
RBP4	Cytosol	Unclassified
RBP7	Cytosol	Unclassified
RBPMS	Cytosol	Unclassified
RBX1	Cytosol	Unclassified
RCAN1	Cytosol	Unclassified
RCAN3	Cytosol	Unclassified
RCBTB1	Cytosol	Unclassified
RCCD1	Cytosol	Unclassified
RDX	Cytosol	Unclassified
RELA	Cytosol	Unclassified
REPS1	Cytosol	Unclassified
REPS2	Cytosol	Unclassified
RERG	Cytosol	Unclassified
REXO2	Cytosol	Unclassified
RFK	Cytosol	Unclassified
RFX2	Cytosol	Unclassified
RGL2	Cytosol	Unclassified
RGP1	Cytosol	Unclassified
RGS10	Cytosol	Unclassified
RGS12	Cytosol	Unclassified
RGS3	Cytosol	Unclassified
RHOA	Cytosol	Unclassified
RHOBTB1	Cytosol	Unclassified
RHPN1	Cytosol	Unclassified
RHPN2	Cytosol	Unclassified
RIC8A	Cytosol	Unclassified
RIC8B	Cytosol	Unclassified
RILPL1	Cytosol	Unclassified
RIN1	Cytosol	Unclassified
RIN2	Cytosol	Unclassified
RIN3	Cytosol	Unclassified
RIOK1	Cytosol	Unclassified
RIOK3	Cytosol	Unclassified
RIPK1	Cytosol	Unclassified
RIT1	Cytosol	Unclassified
RLTPR	Cytosol	Unclassified
RMI2	Cytosol	Unclassified
RMND5A	Cytosol	Unclassified
RMND5B	Cytosol	Unclassified
RNASE4	Cytosol	Unclassified
RNASEH2A	Cytosol	Unclassified
RNF123	Cytosol	Unclassified
RNF126	Cytosol	Unclassified
RNF135	Cytosol	Unclassified
RNF14	Cytosol	Unclassified
RNF144B	Cytosol	Unclassified
RNF146	Cytosol	Unclassified
RNF150	Cytosol	Unclassified
RNF166	Cytosol	Unclassified
RNF181	Cytosol	Unclassified
RNF187	Cytosol	Unclassified
RNF213	Cytosol	Unclassified
RNF25	Cytosol	Unclassified
RNF31	Cytosol	Unclassified
RNF34	Cytosol	Unclassified
RNF41	Cytosol	Unclassified
RNF44	Cytosol	Unclassified
RNF7	Cytosol	Unclassified
RNH1	Cytosol	Unclassified
RNLS	Cytosol	Unclassified
RNPEP	Cytosol	Unclassified
RNPEPL1	Cytosol	Unclassified
ROCK1	Cytosol	Unclassified
ROCK2	Cytosol	Unclassified
RPA3-AS1	Cytosol	Unclassified
RPAP1	Cytosol	Unclassified
RPAP2	Cytosol	Unclassified
RPAP3	Cytosol	Unclassified
RPE	Cytosol	Unclassified
RPGR	Cytosol	Unclassified
RPIA	Cytosol	Unclassified
RPS6KA3	Cytosol	Unclassified
RPS6KB1	Cytosol	Unclassified
RPS6KB2	Cytosol	Unclassified
RPS6KC1	Cytosol	Unclassified
RPUSD1	Cytosol	Unclassified
RRAGD	Cytosol	Unclassified
RRM2	Cytosol	Unclassified
RRM2B	Cytosol	Unclassified
RRN3	Cytosol	Unclassified
RRNAD1	Cytosol	Unclassified
RSU1	Cytosol	Unclassified
RTCA	Cytosol	Unclassified
RTL1	Cytosol	Unclassified
RTTN	Cytosol	Unclassified
RUFY1	Cytosol	Unclassified
RUFY3	Cytosol	Unclassified
RUNX2	Cytosol	Unclassified
RUVBL1	Cytosol	Unclassified
RUVBL2	Cytosol	Unclassified
RWDD1	Cytosol	Unclassified
RWDD3	Cytosol	Unclassified
RWDD4	Cytosol	Unclassified
S100A10	Cytosol	Unclassified
S100A11	Cytosol	Unclassified
S100A16	Cytosol	Unclassified
S100A2	Cytosol	Unclassified
S100A4	Cytosol	Unclassified
S100A6	Cytosol	Unclassified
S100A9	Cytosol	Unclassified
SAC3D1	Cytosol	Unclassified
SACS	Cytosol	Unclassified
SAMD11	Cytosol	Unclassified
SAMD12	Cytosol	Unclassified
SAMD9	Cytosol	Unclassified
SAPCD2	Cytosol	Unclassified
SAR1A	Cytosol	Unclassified
SAR1B	Cytosol	Unclassified
SARS	Cytosol	Unclassified
SCIN	Cytosol	Unclassified
SCLT1	Cytosol	Unclassified
SCN7A	Cytosol	Unclassified
SCOC	Cytosol	Unclassified
SCRN2	Cytosol	Unclassified
SCRN3	Cytosol	Unclassified
SCYL2	Cytosol	Unclassified
SDCBP	Cytosol	Unclassified
SDCBP2	Cytosol	Unclassified
SDSL	Cytosol	Unclassified
SEC13	Cytosol	Unclassified
SEC14L1	Cytosol	Unclassified
SEC14L2	Cytosol	Unclassified
SEC23B	Cytosol	Unclassified
SEC24A	Cytosol	Unclassified
SEC24B	Cytosol	Unclassified
SEC24C	Cytosol	Unclassified
SEC31A	Cytosol	Unclassified
SEL1L3	Cytosol	Unclassified
SELENBP1	Cytosol	Unclassified
SEMA6A	Cytosol	Unclassified
SENP8	Cytosol	Unclassified
SEPHS2	Cytosol	Unclassified
SEPSECS	Cytosol	Unclassified
SERF2	Cytosol	Unclassified
SERGEF	Cytosol	Unclassified
SERPINA10	Cytosol	Unclassified
SERPINA4	Cytosol	Unclassified
SERPINA6	Cytosol	Unclassified
SERPINA7	Cytosol	Unclassified
SERPINB1	Cytosol	Unclassified
SERPINB5	Cytosol	Unclassified
SERPINB6	Cytosol	Unclassified
SERPINB9	Cytosol	Unclassified
SERPINC1	Cytosol	Unclassified
SERPIND1	Cytosol	Unclassified
SERPINF1	Cytosol	Unclassified
SERPING1	Cytosol	Unclassified
SESN2	Cytosol	Unclassified
SESTD1	Cytosol	Unclassified
SETD3	Cytosol	Unclassified
SETD4	Cytosol	Unclassified
SETDB1	Cytosol	Unclassified
SFN	Cytosol	Unclassified
SGSM2	Cytosol	Unclassified
SGTB	Cytosol	Unclassified
SH2B1	Cytosol	Unclassified
SH2B2	Cytosol	Unclassified
SH2D3A	Cytosol	Unclassified
SH2D4A	Cytosol	Unclassified
SH3BGR	Cytosol	Unclassified
SH3BGRL	Cytosol	Unclassified
SH3BGRL2	Cytosol	Unclassified
SH3BGRL3	Cytosol	Unclassified
SH3BP2	Cytosol	Unclassified
SH3BP5	Cytosol	Unclassified
SH3BP5L	Cytosol	Unclassified
SH3GL1	Cytosol	Unclassified
SH3GLB1	Cytosol	Unclassified
SH3KBP1	Cytosol	Unclassified
SH3PXD2B	Cytosol	Unclassified
SH3RF1	Cytosol	Unclassified
SH3YL1	Cytosol	Unclassified
SHARPIN	Cytosol	Unclassified
SHB	Cytosol	Unclassified
SHC1	Cytosol	Unclassified
SHCBP1	Cytosol	Unclassified
SHKBP1	Cytosol	Unclassified
SHMT1	Cytosol	Unclassified
SHROOM1	Cytosol	Unclassified
SIAH1	Cytosol	Unclassified
SIAH2	Cytosol	Unclassified
SIK1	Cytosol	Unclassified
SIK2	Cytosol	Unclassified
SIK3	Cytosol	Unclassified
SIKE1	Cytosol	Unclassified
SIPA1	Cytosol	Unclassified
SIRT2	Cytosol	Unclassified
SIRT5	Cytosol	Unclassified
SKA3	Cytosol	Unclassified
SKAP2	Cytosol	Unclassified
SKP1	Cytosol	Unclassified
SLAIN2	Cytosol	Unclassified
SLC7A6OS	Cytosol	Unclassified
SLC9A3R1	Cytosol	Unclassified
SLK	Cytosol	Unclassified
SLPI	Cytosol	Unclassified
SMAD1	Cytosol	Unclassified
SMAD2	Cytosol	Unclassified
SMAD3	Cytosol	Unclassified
SMAD4	Cytosol	Unclassified
SMAD5	Cytosol	Unclassified
SMC2	Cytosol	Unclassified
SMC4	Cytosol	Unclassified
SMCR8	Cytosol	Unclassified
SMG1	Cytosol	Unclassified
SMG5	Cytosol	Unclassified
SMG7	Cytosol	Unclassified
SMG8	Cytosol	Unclassified
SMG9	Cytosol	Unclassified
SMIM8	Cytosol	Unclassified
SMS	Cytosol	Unclassified
SMUG1	Cytosol	Unclassified
SMURF1	Cytosol	Unclassified
SMURF2	Cytosol	Unclassified
SMYD2	Cytosol	Unclassified
SMYD3	Cytosol	Unclassified
SMYD4	Cytosol	Unclassified
SNAPIN	Cytosol	Unclassified
SND1	Cytosol	Unclassified
SNRK	Cytosol	Unclassified
SNRNP25	Cytosol	Unclassified
SNX10	Cytosol	Unclassified
SNX12	Cytosol	Unclassified
SNX15	Cytosol	Unclassified
SNX17	Cytosol	Unclassified
SNX18	Cytosol	Unclassified
SNX24	Cytosol	Unclassified
SNX29	Cytosol	Unclassified
SNX33	Cytosol	Unclassified
SNX8	Cytosol	Unclassified
SNX9	Cytosol	Unclassified
SOCS2	Cytosol	Unclassified
SOCS6	Cytosol	Unclassified
SOD1	Cytosol	Unclassified
SORBS1	Cytosol	Unclassified
SORBS3	Cytosol	Unclassified
SORD	Cytosol	Unclassified
SOS2	Cytosol	Unclassified
SOWAHC	Cytosol	Unclassified
SOX18	Cytosol	Unclassified
SP140L	Cytosol	Unclassified
SPA17	Cytosol	Unclassified
SPAG1	Cytosol	Unclassified
SPAG5	Cytosol	Unclassified
SPAG9	Cytosol	Unclassified
SPAST	Cytosol	Unclassified
SPATA2	Cytosol	Unclassified
SPATA2L	Cytosol	Unclassified
SPATA33	Cytosol	Unclassified
SPC24	Cytosol	Unclassified
SPDL1	Cytosol	Unclassified
SPECC1L	Cytosol	Unclassified
SPEF2	Cytosol	Unclassified
SPG11	Cytosol	Unclassified
SPIN3	Cytosol	Unclassified
SPIRE2	Cytosol	Unclassified
SPR	Cytosol	Unclassified
SPRR3	Cytosol	Unclassified
SPSB2	Cytosol	Unclassified
SPTA1	Cytosol	Unclassified
SRGAP1	Cytosol	Unclassified
SRI	Cytosol	Unclassified
SRM	Cytosol	Unclassified
SRP19	Cytosol	Unclassified
SRP54	Cytosol	Unclassified
SRRD	Cytosol	Unclassified
SRXN1	Cytosol	Unclassified
SSH2	Cytosol	Unclassified
SSH3	Cytosol	Unclassified
SSSCA1	Cytosol	Unclassified
SSU72	Cytosol	Unclassified
STAM	Cytosol	Unclassified
STAM2	Cytosol	Unclassified
STAMBPL1	Cytosol	Unclassified
STAP2	Cytosol	Unclassified
